KM,ID,0.2838937525031176,0.5716095126782026
KM,GS,0.27985200530489684,0.1241573678853456
KM,51GB,0.2855623323001207,0.5368607110411966
KM,53GB,0.2878009004377262,0.5757141204897912
KM,55GB,0.2878458552938913,0.5369026168487869
MBKM,ID,0.2837096818443913,0.15073829818954076
MBKM,GS,0.28006284870995174,0.14767342533878894
MBKM,51GB,0.2850894361789553,0.16414395607579588
MBKM,53GB,0.2850804583799893,0.14759428652589876
MBKM,55GB,0.2872606742322291,0.16032975573446337
HACW,ID,0.35176616856856513,0.6141632444347158
HACW,GS,0.3515706263854393,0.4624490488434808
HACW,51GB,0.35052652768919607,0.6122210236779142
HACW,53GB,0.3531660623350554,0.6256770005110291
HACW,55GB,0.3409135426698484,0.6252910431539245
HACC,ID,0.2970945690884009,0.4785653774539791
HACC,GS,0.3122747450796443,0.2623689724527791
HACC,51GB,0.2967220779785724,0.48130481851118057
HACC,53GB,0.30039001521566705,0.4599694179240307
HACC,55GB,0.3148800339833662,0.46146374488719477
HACA,ID,0.28733005458583755,0.5046087546397071
HACA,GS,0.2908290852073043,0.26964014875296205
HACA,51GB,0.26109987390853223,0.4883708598691847
HACA,53GB,0.28581026793366404,0.4871855343962176
HACA,55GB,0.28990461404437307,0.48843912600005873
KMfp,ID,0.3985694525582263,1.168581691489309
KMfp,GS,0.48936406105458274,1.3129571255808257
KMfp,51GB,0.4069088024493403,1.1791008052285452
KMfp,53GB,0.41008682711932953,1.1795746702810679
KMfp,55GB,0.41030882099508437,1.1783262412085742
MBKMfp,ID,0.41702463105946963,0.7026895026968494
MBKMfp,GS,0.49953019015883016,0.817259975150557
MBKMfp,51GB,0.4060025933341255,0.7139402002426751
MBKMfp,53GB,0.41059039929628527,0.7125063672050052
MBKMfp,55GB,0.40952953846918244,0.7055314190774707
HACWfp,ID,0.3661041849766126,0.6013583066414181
HACWfp,GS,0.32949696485643337,0.5883416269608237
HACWfp,51GB,0.34203940156615875,0.5962835425282564
HACWfp,53GB,0.34948920653945464,0.5889756687156821
HACWfp,55GB,0.360854682118033,0.5971797675461034
HACCfp,ID,0.2928782143887922,0.40705802111297773
HACCfp,GS,0.28504578645995404,0.3996789130582123
HACCfp,51GB,0.30716261515639975,0.4139919089617972
HACCfp,53GB,0.2813932790732175,0.4091565154134823
HACCfp,55GB,0.3052492863812124,0.4087695403959172
HACAfp,ID,0.2761636275797679,0.4291605041702805
HACAfp,GS,0.27783739864261336,0.4040000288108065
HACAfp,51GB,0.28405960559820936,0.41551217632115606
HACAfp,53GB,0.2864411529551293,0.41954153381784465
HACAfp,55GB,0.2753346571943815,0.42787039703590674
